관광유형,명칭,우편번호,주소,도시,시군구,위도,경도
관광지,양덕도(발가락섬),58953,"전라남도 진도군 조도면 가사도길 42-204
			",전라남도 진도군,전라남도 진도군,34.49372948,126.10482859999999
관광지,미황사,59067,"전라남도 해남군 송지면 미황사길 164
			",전라남도 해남군,전라남도 해남군,34.38226631,126.57797009999999
관광지,정남진 전망대,59357,"전라남도 장흥군 관산읍 정남진해안로 242-58
			",전라남도 장흥군,전라남도 장흥군,34.51172503,126.97465159999999
관광지,창평향교,57376,전라남도 담양군 고서면 교촌길 43-11(고서면),전라남도 담양군,전라남도 담양군,35.21666812,126.9844528
관광지,소안도,,"전라남도 완도군 소안면
			",전라남도 완도군,전라남도 완도군,34.14929904,126.6477112
관광지,나주 영산나루마을,58289,전라남도 나주시 공산면 덕음로 548-7(공산면),전라남도 나주시,전라남도 나주시,34.98443779,126.59392920000002
관광지,순천 송광사 천자암 쌍향수(곱향나무),57914,"전라남도 순천시 송광면 천자암길 105
			",전라남도 순천시,전라남도 순천시,34.98113044,127.28999009999998
관광지,진산리해수욕장,59166,"전라남도 완도군 소안면 소안남로
			",전라남도 완도군,전라남도 완도군,34.13059839,126.65006699999999
관광지,풍류해수욕장,548-871,"전남 고흥군 두원면 풍류리
			",전라남도 고흥군,전라남도 고흥군,34.66395670000001,127.2293172
관광지,조금나루해수욕장,58535,"전라남도 무안군 망운면 송현리 1070-3
			",전라남도 무안군,전라남도 무안군,34.99604611,126.3363628
관광지,"순천만습지 (구, 순천만자연생태공원)",58027,전라남도 순천시 순천만길 513-25(대대동),전라남도 순천시,전라남도 순천시,34.88555607,127.5096482
관광지,손죽도,59788,전라남도 여수시 삼산면 손죽길 7(삼산면),전라남도 여수시,전라남도 여수시,34.28180991,127.3571182
관광지,무등산편백자연휴양림(안양산자연휴양림),58103,"전라남도 화순군 이서면 안양산로 685
			",전라남도 화순군,전라남도 화순군,35.09187461,127.02740770000001
관광지,도래마을,58233,"전라남도 나주시 다도면 동력길 2
			",전라남도 나주시,전라남도 나주시,34.99857331,126.821156
관광지,율도,58861,"전라남도 신안군 장산면 율도길 17-3
			",전라남도 신안군,전라남도 신안군,34.57734377,126.19573249999999
관광지,능가사,59518,전라남도 고흥군 점암면 팔봉길 21(점암면),전라남도 고흥군,전라남도 고흥군,34.63885154,127.41411000000001
관광지,모사금해수욕장,59621,"전라남도 여수시 오천동
			",전라남도 여수시,전라남도 여수시,34.79655642,127.755765
관광지,나주 반남 고분군,58301,"전라남도 나주시 반남면
			",전라남도 나주시,전라남도 나주시,34.91211627,126.64722350000001
관광지,무등산 양떼목장,58104,"전라남도 화순군 화순읍 안양산로 537
			",전라남도 화순군,전라남도 화순군,35.0953434,127.0118923
관광지,순천 낙안읍성,57918,"전라남도 순천시 낙안면 충민길 30
			",전라남도 순천시,전라남도 순천시,34.90709518,127.3397959
관광지,완도 미라리 상록수림,59166,"전라남도 완도군 소안면 미라리 472
			",전라남도 완도군,전라남도 완도군,34.1444027,126.6682706
관광지,방죽포해변,59775,"전라남도 여수시 돌산읍 향일암로 804-6
			",전라남도 여수시,전라남도 여수시,34.63062007,127.7927327
관광지,신전해변,58957,"전라남도 진도군 조도면 조도대로 115-19
			",전라남도 진도군,전라남도 진도군,34.28381918,126.07278070000001
관광지,강진 백련사 동백나무 숲,59248,"전라남도 강진군 도암면 백련사길 145
			",전라남도 강진군,전라남도 강진군,34.58774052,126.74792520000001
관광지,목포 해상케이블카,58719,"전라남도 목포시 해양대학로 240
			",전라남도 목포시,전라남도 목포시,34.79941606,126.3700534
관광지,정남진(장흥),59356,"전라남도 장흥군 관산읍
			",전라남도 장흥군,전라남도 장흥군,34.54728769,126.97341750000001
관광지,마한문화공원,58426,"전라남도 영암군 시종면 남해당로 65
			",전라남도 영암군,전라남도 영암군,34.89518382,126.58542649999998
관광지,고흥발포만호성,59528,전라남도 고흥군 도화면 발포성촌길 3(도화면),전라남도 고흥군,전라남도 고흥군,34.48408419,127.3359096
관광지,가마미해수욕장,57000,"전라남도 영광군 홍농읍 가마미로 355
			",전라남도 영광군,전라남도 영광군,35.39972939,126.409077
관광지,목포 관광특구,,"전남 목포시북항, 유달산, 개항장권역, 삼학도, 갓바위, 평화광장 일원",전라남도 목포시,전라남도 목포시,34.79062267,126.3735867
관광지,통리해수욕장,59163,"전라남도 완도군 보길면 중통리
			",전라남도 완도군,전라남도 완도군,34.15810527,126.5788031
관광지,송계 어촌체험마을,58503,"전라남도 무안군 해제면 만송로 916
			",전라남도 무안군,전라남도 무안군,35.15288122,126.3397476
관광지,담양 창평 삼지내마을[슬로시티],57389,"전라남도 담양군 창평면 돌담길 9-22
			",전라남도 담양군,전라남도 담양군,35.23805796,127.01906299999999
관광지,익금해수욕장,59566,"전라남도 고흥군 금산면 익금해변길 32
			",전라남도 고흥군,전라남도 고흥군,34.43032868,127.14643020000001
관광지,신안 비금도 대동염전,58844,"전라남도 신안군 비금면 서남문로 200
			",전라남도 신안군,전라남도 신안군,34.76787161,125.9792332
관광지,장흥 삼산리 후박나무,59357,전라남도 장흥군 관산읍 산서1길 13부근,전라남도 장흥군,전라남도 장흥군,34.52322344,126.9566807
관광지,선암사계곡,57909,전라남도 순천시 승주읍 선암사길 450(승주읍) 선암사 부근,전라남도 순천시,전라남도 순천시,34.99234117,127.34117140000002
관광지,원갑사,58507,전라남도 무안군 해제면 산길로 266-27(해제면),전라남도 무안군,전라남도 무안군,35.09055366,126.26229209999998
관광지,정송강 유적(식영정·송강정),57392,"전라남도 담양군 남면 가사문학로 859
			",전라남도 담양군,전라남도 담양군,35.1884244,127.00244350000001
관광지,용추폭포계곡,59449,"전라남도 보성군 웅치면 용반리
			",전라남도 보성군,전라남도 보성군,34.69105835,127.01342439999999
관광지,덕흥해수욕장,59567,"전라남도 고흥군 동일면 덕흥양쪽길 118
			",전라남도 고흥군,전라남도 고흥군,34.52712591,127.4586172
관광지,불갑산도립공원,57058,"전라남도 영광군 불갑면 불갑사로 450
			",전라남도 영광군,전라남도 영광군,35.20077372,126.54946670000001
관광지,증도(신안),58807,"전라남도 신안군 증도면 문준경길 188
			",전라남도 신안군,전라남도 신안군,35.00286989999999,126.13970230000001
관광지,대전해수욕장,59513,"전라남도 고흥군 두원면 두원로 1306-30
			",전라남도 고흥군,전라남도 고흥군,34.71352687,127.27247609999999
관광지,장흥 어산리 푸조나무,59345,전라남도 장흥군 용산면어산리 289-2,전라남도 장흥군,전라남도 장흥군,34.62162823,126.9059633
관광지,염포해수욕장,548-944,"전남 고흥군 봉래면 외초리
			",전라남도 고흥군,전라남도 고흥군,34.4318177,127.49303880000001
관광지,느랭이골 자연 리조트,57709,전라남도 광양시 다압면 토끼재길 119-32(다압면),전라남도 광양시,전라남도 광양시,35.06002885,127.7114399
관광지,금전산,57918,"전라남도 순천시 낙안면 상송리
			",전라남도 순천시,전라남도 순천시,34.92370736,127.3495307
관광지,거금생태숲,59566,"전라남도 고흥군 금산면 거금일주로 1877
			",전라남도 고흥군,전라남도 고흥군,34.45388832,127.2156653
관광지,김대중 대통령 생가,58855,전라남도 신안군 하의면 후광길 255(하의면),전라남도 신안군,전라남도 신안군,34.63195163,126.0302625
관광지,억불산,59337,"전라남도 장흥군 용산면
			",전라남도 장흥군,전라남도 장흥군,34.65845791,126.934596
관광지,함평 향교리 느티나무·팽나무·개서어나무 숲,57145,전라남도 함평군 대동면 향교길 38-8(대동면) 부근,전라남도 함평군,전라남도 함평군,35.07217693,126.5367932
관광지,임자 대광해수욕장,58803,"전라남도 신안군 임자면 광산리
			",전라남도 신안군,전라남도 신안군,35.10342684,126.0701422
관광지,신지명사십리해수욕장,59146,"전라남도 완도군 신지면
			",전라남도 완도군,전라남도 완도군,34.32714844,126.8059709
관광지,퍼플교,58840,"전라남도 신안군 안좌면 소곡두리길 257-35
			",전라남도 신안군,전라남도 신안군,34.71754347,126.1218801
관광지,대황강 자연휴식공원,57559,"전라남도 곡성군 석곡면 석곡2길 13
			",전라남도 곡성군,전라남도 곡성군,35.13025749,127.2549144
관광지,향일암(여수),59778,"전라남도 여수시 돌산읍 향일암로 60
			",전라남도 여수시,전라남도 여수시,34.59163296,127.80400490000001
관광지,반월도·박지도,58840,"전라남도 신안군 안좌면
			",전라남도 신안군,전라남도 신안군,34.71021636,126.11182279999998
관광지,한천자연휴양림,58147,"전라남도 화순군 한천면 죽헌로 719
			",전라남도 화순군,전라남도 화순군,34.99163331,127.03840919999999
관광지,모평마을,57119,"전라남도 함평군 해보면 상모길 80
			",전라남도 함평군,전라남도 함평군,35.16040681,126.59435259999998
관광지,안악해수욕장,57110,"전라남도 함평군 손불면 월천리 2108
			",전라남도 함평군,전라남도 함평군,35.14046956,126.3901517
관광지,고소동 천사벽화마을,59740,"전라남도 여수시 종화동
			",전라남도 여수시,전라남도 여수시,34.73835712,127.74059
관광지,보길도 뾰쪽산과 보옥리 공룡알해변,537-852,"전남 완도군 보길면 보옥리, 선창리",전라남도 완도군,전라남도 완도군,34.12508846,126.51359850000001
관광지,곡성 함허정,57511,"전라남도 곡성군 입면 제월리
			",전라남도 곡성군,전라남도 곡성군,35.32249353,127.22023200000001
관광지,섬진강,516-910,"전남 곡성군 옥과면,입면, 곡성읍, 오곡면",전라남도 곡성군,전라남도 곡성군,35.31984338,127.194201
관광지,대나무골 테마공원,57353,"전라남도 담양군 금성면 비내동길 148
			",전라남도 담양군,전라남도 담양군,35.33717781,127.0485774
관광지,모래미 해변,57025,"전라남도 영광군 백수읍 해안로 1389
			",전라남도 영광군,전라남도 영광군,35.36275311,126.4139525
관광지,만성리 검은모래해변,59622,"전라남도 여수시 만성리길 15-1
			",전라남도 여수시,전라남도 여수시,34.77715285,127.7447915
관광지,암태 추포해수욕장,58835,"전라남도 신안군 암태면 추엽길 58-59
			",전라남도 신안군,전라남도 신안군,34.80534937,126.0674578
관광지,사성암(구례),57632,"전라남도 구례군 문척면 사성암길 303
			",전라남도 구례군,전라남도 구례군,35.18016687,127.48062379999999
관광지,우수영관광지,59004,"전라남도 해남군 문내면 관광레저로 12
			",전라남도 해남군,전라남도 해남군,34.57335442,126.31082240000002
관광지,여자만갯벌,59607,"전라남도 여수시 소라면 해넘이길 205
			",전라남도 여수시,전라남도 여수시,34.79502828,127.56425130000001
관광지,별나로마을,59523,"전라남도 고흥군 포두면 상오길 65
			",전라남도 고흥군,전라남도 고흥군,34.57423639,127.4046402
관광지,무월마을,57381,"전라남도 담양군 대덕면 무월길 42
			",전라남도 담양군,전라남도 담양군,35.26651899,127.0398966
관광지,지리산국립공원(지리산 노고단),57616,"전라남도 구례군 마산면 화엄사로 356
			",전라남도 구례군,전라남도 구례군,35.33418373,127.53287079999998
관광지,송도,58953,전라남도 진도군 조도면 가사도리산 77,전라남도 진도군,전라남도 진도군,34.51944034,126.09591759999999
관광지,서유리 공룡화석지 (무등산권 국가지질공원),58100,"전라남도 화순군 백아면 백아로 2080
			",전라남도 화순군,전라남도 화순군,35.1695447,127.0907918
관광지,강진영랑생가,59228,전라남도 강진군 강진읍 영랑생가길 15(강진읍),전라남도 강진군,전라남도 강진군,34.64219303,126.7652918
관광지,사구미해변,59066,"전라남도 해남군 송지면 사구미길 20
			",전라남도 해남군,전라남도 해남군,34.32087875,126.5791631
관광지,송이도,57068,전라남도 영광군 낙월면 송이리(낙월면),전라남도 영광군,전라남도 영광군,35.28306327,126.1449561
관광지,나주 금성관,58257,"전라남도 나주시 금성관길 8
			",전라남도 나주시,전라남도 나주시,35.03339541,126.71656709999999
관광지,돌산 평사리 고니도래지,59771,"전라남도 여수시 돌산읍 안굴전길
			",전라남도 여수시,전라남도 여수시,34.69852049,127.77417700000001
관광지,거문도(유림)해수욕장,59790,전라남도 여수시 삼산면 거문도등대길 56삼산면 덕촌리 322,전라남도 여수시,전라남도 여수시,34.01982707,127.30397920000001
관광지,증도 우전해수욕장,58808,"전라남도 신안군 증도면 지도증도로 1684
			",전라남도 신안군,전라남도 신안군,34.97107345,126.13695049999998
관광지,갈두마을(땅끝마을),59065,"전라남도 해남군 송지면 땅끝마을길 82
			",전라남도 해남군,전라남도 해남군,34.29980529,126.52858470000001
관광지,강성서원,59301,"전라남도 장흥군 유치면 유치로 70
			",전라남도 장흥군,전라남도 장흥군,34.80152905,126.83423470000001
관광지,발포해수욕장,59528,"전라남도 고흥군 도화면 천마로 2743
			",전라남도 고흥군,전라남도 고흥군,34.4919809,127.35741029999998
관광지,노력도,59359,"전라남도 장흥군 회진면 노력도1길 215
			",전라남도 장흥군,전라남도 장흥군,34.4649218,126.9663535
관광지,면앙정,57367,"전라남도 담양군 봉산면 면앙정로 382-11
			",전라남도 담양군,전라남도 담양군,35.28437122,126.96303629999998
관광지,추월산,57300,"전라남도 담양군 용면 추월산로 981
			",전라남도 담양군,전라남도 담양군,35.40441091,126.992314
관광지,담양 시목마을,57381,"전라남도 담양군 대덕면 시목길 29
			",전라남도 담양군,전라남도 담양군,35.26773544,127.0353497
관광지,운주사,58158,전라남도 화순군 도암면 천태로 91-44(도암면),전라남도 화순군,전라남도 화순군,34.92559087,126.8804275
관광지,송호해수욕장,59065,"전라남도 해남군 송지면 땅끝해안로 1827
			",전라남도 해남군,전라남도 해남군,34.31434795,126.5190463
관광지,남산공원(화순),58122,전라남도 화순군 화순읍 진각로 87(화순읍),전라남도 화순군,전라남도 화순군,35.05912758,126.9849483
관광지,도림사(곡성),57527,"전라남도 곡성군 곡성읍 도림로 175
			",전라남도 곡성군,전라남도 곡성군,35.26707543,127.25755790000001
관광지,낙안향교,57918,"전라남도 순천시 낙안면 교촌길 59
			",전라남도 순천시,전라남도 순천시,34.90035715,127.3457983
관광지,할미꽃 한재공원,59359,"전라남도 장흥군 회진면 덕산리 793-6
			",전라남도 장흥군,전라남도 장흥군,34.48430823,126.9490879
관광지,순천왜성,58020,"전라남도 순천시 해룡면 신성리
			",전라남도 순천시,전라남도 순천시,34.90712155,127.5811775
관광지,진도,58915,"전라남도 진도군 진도읍
			",전라남도 진도군,전라남도 진도군,34.48679393,126.26351470000002
